userName;content;score;at;sentimen;hasil_prediksi;kategori;sentimen_kategori
Arnulfo Nosal;good service;50;13/09/2020 01:34;puas;puas;lainnya;lainnya
Naza Din;good apps;50;13/09/2020 01:30;puas;puas;sistem aplikasi;sistem aplikasi
Ruthran Jency;very easy going to any whear;50;13/09/2020 01:28;puas;puas;sistem aplikasi;sistem aplikasi
Monica buizer;fast deliver;50;13/09/2020 00:56;puas;puas;lainnya;lainnya
Romnick Reyes;load service is not working! i have credit and it just keep loading.;10;13/09/2020 00:40;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
hikmal fachri;opss something went wrong try refreshing the app;10;13/09/2020 00:34;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
shirley novianti mulyadi;lebih banyak promo nya ini daripada toko sebelah sekarang;50;13/09/2020 00:33;puas;netral;lainnya;lainnya
NOOR WAHYUDY OSMAN;failed to load my current location. very poor apps.;10;13/09/2020 00:05;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
baby toratora;not nad for us;50;12/09/2020 23:49;puas;puas;lainnya;sistem aplikasi
pris killa;grab always help us;50;12/09/2020 23:49;puas;puas;lainnya;lainnya
Ahmad Lofty;👍;50;12/09/2020 23:26;puas;05/08/2020 12:29;lainnya;driver
Pablo Miguel Gozo;may bayad talaga na 380 para maregister ng grabpay.;10;12/09/2020 22:59;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Harlene Deluna;basura;10;12/09/2020 22:56;tidak puas;tidak puas;lainnya;lainnya
Kogilawani Balakrishnan;very hlepfull;50;12/09/2020 22:52;puas;puas;lainnya;lainnya
nurul ain;great app;50;12/09/2020 22:01;puas;puas;sistem aplikasi;sistem aplikasi
Kurenai Ryu;my phone cannot run this app. can you build a lite version. that use less memory;40;12/09/2020 19:08;puas;netral;sistem aplikasi;sistem aplikasi
Jem Rock;ok;50;12/09/2020 18:35;puas;puas;lainnya;lainnya
Rana Butter;she m;20;12/09/2020 18:21;tidak puas;tidak puas;lainnya;driver
Rajendra Bhat;very good app for cabs in south east asia. rates are reasonable. it takes pickup and drop points precisely.;40;12/09/2020 16:48;puas;puas;sistem aplikasi;sistem aplikasi
Tina Tona90102001460;good;50;12/09/2020 16:37;puas;puas;lainnya;lainnya
Willi Aulia;gabisa liat posisi driver skrg kalo pas order makanan. bagusan gojek apalagi goofod;10;12/09/2020 16:29;tidak puas;netral;driver;driver
Mahesh magar;its good;50;12/09/2020 16:23;puas;puas;lainnya;lainnya
Ahmad Afiq;an app used for a multitude of stuff fromcalling a ride to ordering foods and other necessity;50;12/09/2020 16:01;puas;puas;sistem aplikasi;sistem aplikasi
Shew Suzerain;automatic location is 80% wrong. there's no compensate for any mistakes they'll make. you might just end up get you plans ruined by the aplication.;20;12/09/2020 16:01;tidak puas;tidak puas;lainnya;lainnya
abelon john;good;50;12/09/2020 15:08;puas;puas;lainnya;lainnya
Alden Kevin;tolong grab sering ada supir yg cancel orderan penumpang padahal kita lagi buru-buru kalo seperti itu supirnya kasih hukuman aja yg pantas;10;12/09/2020 14:50;tidak puas;tidak puas;driver;driver
Ramona Quinto;its not opening no matter have much i wait.tf what's wronf with this;10;12/09/2020 14:47;tidak puas;tidak puas;lainnya;sistem aplikasi
Amin Nursudi;grabfood 👍;50;12/09/2020 14:42;puas;netral;lainnya;driver
Sean;buggy app. even when registering before i get to enter otp it turns into a blank white screen. lousy app;10;12/09/2020 14:31;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Dewi Karlina;cheaper than the others;50;12/09/2020 14:11;puas;netral;lainnya;lainnya
bibhas ghosh;good;50;12/09/2020 14:08;puas;puas;lainnya;lainnya
sufian md noor;my home is not in the map huhu.;30;12/09/2020 13:58;netral;netral;lainnya;sistem aplikasi
Clint Pereira;excellent app...;50;12/09/2020 13:50;puas;puas;sistem aplikasi;sistem aplikasi
Mohamed Husaini;good;50;12/09/2020 13:31;puas;puas;lainnya;lainnya
Jason Gwapo;ok;20;12/09/2020 13:18;tidak puas;puas;lainnya;lainnya
Kamrul Islam;set;40;12/09/2020 13:11;puas;netral;lainnya;sistem aplikasi
don ruah;great;50;12/09/2020 13:04;puas;puas;lainnya;lainnya
Ivan P;double order grabfood is suckssss.. better use gofood for food order;10;12/09/2020 12:46;tidak puas;tidak puas;lainnya;lainnya
Rielly Marzall Macairan;great;50;12/09/2020 12:26;puas;puas;lainnya;lainnya
Marc Herois;promo grab food sih boleh gede 50% tapi pas submit hilang akhirnya bayar full deh. programmernya amatiran.;10;12/09/2020 12:26;tidak puas;tidak puas;lainnya;lainnya
Fernando Broqueza;very well;30;12/09/2020 12:11;netral;puas;lainnya;lainnya
Myown Collection;good;50;12/09/2020 11:44;puas;puas;lainnya;lainnya
Rizal Ahmad Fauzi;great;50;12/09/2020 11:40;puas;puas;lainnya;lainnya
Bao Ngan Duong;good;50;12/09/2020 11:30;puas;puas;lainnya;lainnya
kevnM;ovo payment was declined when ordering grabfood delivery;30;12/09/2020 11:30;netral;netral;lainnya;lainnya
Robin Sevilla;walang kwenta booking system nyo. niligaw kami kahit tama yung address tapos nadoble tuloy bayad.;10;12/09/2020 11:12;tidak puas;tidak puas;lainnya;lainnya
Khan Khan;good job and great service;50;12/09/2020 11:09;puas;puas;lainnya;lainnya
New Gaming;mantap service;50;12/09/2020 11:01;puas;puas;lainnya;lainnya
didit apriyono dino;good application;50;12/09/2020 10:51;puas;puas;sistem aplikasi;sistem aplikasi
Alia Nasir;grabfood very problem its take too long to find a driver for my birthday delivery.;10;12/09/2020 10:49;tidak puas;tidak puas;driver;driver
Abdul Karim;best helpline;50;12/09/2020 10:47;puas;puas;lainnya;lainnya
Norazah Ismail;i can't even open the app cause it keep saying unfortunately grab has stopped whenever i try to open it.;10;12/09/2020 10:37;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Margaretha Ikawati;cepat sampai;50;12/09/2020 10:35;puas;puas;driver;driver
Syakyra Sany;the drivers was really kind;50;12/09/2020 10:31;puas;puas;driver;driver
Tommy Sulaksono;great;50;12/09/2020 10:29;puas;puas;lainnya;lainnya
Zeeshan Ali Jatoi;worst service ever. they did deliver my food mentioned as completed. the driver did not even call me. while talking customer support they were blaming on me and saying the driver has disposed off who will dispose off the food.;10;12/09/2020 10:28;tidak puas;tidak puas;driver;driver
Wilson Bautista;mostly ok. however the credit card option becomes unavailable most of the time without explanation. had to load grab credits via credit card so i always have credits to use.;40;12/09/2020 10:27;puas;tidak puas;lainnya;sistem aplikasi
Jury Mondido;verry helpful apps;50;12/09/2020 10:27;puas;puas;sistem aplikasi;sistem aplikasi
Diego Reggy;worst taxibike app ever :(;10;12/09/2020 10:22;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Albert Loh;esay to understand in using this app;50;12/09/2020 10:21;puas;tidak puas;sistem aplikasi;sistem aplikasi
Myra Ann Azcona;now after updating when transfer online payment or top up wallet after u set for how much limits to top up always fails. it is hard for us to eat or order food because grabfood only receive c.card;10;12/09/2020 10:14;tidak puas;tidak puas;lainnya;sistem aplikasi
Sabreena Hamdan;good;50;12/09/2020 10:04;puas;puas;lainnya;lainnya
Rizaltony;great;50;12/09/2020 10:02;puas;puas;lainnya;lainnya
Mahardika Putra;kalo pake ovo banyak bonusnya;50;12/09/2020 10:01;puas;tidak puas;lainnya;lainnya
kathy jim;excellent;50;12/09/2020 09:58;puas;puas;lainnya;lainnya
Michelle Yamson;good;50;12/09/2020 09:58;puas;puas;lainnya;lainnya
Icez Kittikan;ตอนนี้ระบบแย่จัง หากอยู่นอกพื้นที่จังหวัด เช่น อยู่ปริมณฑล สาย5 จะสั่งข้าวให้แม่กิน แม่อยู่ใน กทม ก็สั่งไม่ได้ เพราะไม่สามารถเลือกจุดส่งอาหารที่นอกจุดพื้นที่ที่เราอยู่ได้ แย่มากเลย;20;12/09/2020 09:54;tidak puas;netral;lainnya;lainnya
s s;poor;10;12/09/2020 09:49;tidak puas;tidak puas;lainnya;lainnya
Xinyi Chua;why i couldnt see the location of my driver now for foid drop off?;30;12/09/2020 09:46;netral;netral;driver;driver
Lam Nguyễn Đình;many voucher discount for my trip :). cheaper than traditional taxi;50;12/09/2020 09:40;puas;puas;lainnya;lainnya
Saka Gallery;easy to use.. lots of drivers arround us..;50;12/09/2020 09:34;puas;puas;driver;driver
NURLIYANA NABILA;great;50;12/09/2020 09:32;puas;puas;lainnya;lainnya
Huệ Chi Nguyễn;good service and nice driver;50;12/09/2020 09:17;puas;puas;driver;driver
Anak Mak Andih;cuma skang lbh mahal drpd tahun sblm ni;50;12/09/2020 09:07;puas;netral;lainnya;driver
G;crash everytime i put my number or email. can't use.;10;12/09/2020 09:01;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Lina Kurnia;nicee;40;12/09/2020 08:59;puas;puas;driver;driver
Wen Lee;great app;50;12/09/2020 08:57;puas;puas;sistem aplikasi;sistem aplikasi
Norainee Ann;makes life really easy;50;12/09/2020 08:38;puas;puas;sistem aplikasi;sistem aplikasi
Jovann Salazar (Jovann);please help install this app;50;12/09/2020 08:31;puas;tidak puas;sistem aplikasi;sistem aplikasi
Oceanaire Manila;very nice and very helpful;50;12/09/2020 08:31;puas;puas;driver;driver
Carlo Custan;great app;50;12/09/2020 08:19;puas;puas;sistem aplikasi;sistem aplikasi
Deanne Abat;not working... i installed it for 2x.;10;12/09/2020 08:05;tidak puas;tidak puas;lainnya;sistem aplikasi
Dexkarte;nice;50;12/09/2020 08:03;puas;puas;driver;driver
Eka Susanti;why tea live missing;10;12/09/2020 07:59;tidak puas;netral;lainnya;lainnya
Ashaq Kutty;good;50;12/09/2020 07:58;puas;puas;lainnya;lainnya
Dat Tran;k biết làm sao để chuyển ngôn ngữ. giấu kĩ quá;10;12/09/2020 07:47;tidak puas;tidak puas;lainnya;lainnya
Alyza Tamboong;safe and comfortable;50;12/09/2020 07:38;puas;puas;lainnya;driver
Arif Sempoi;user friendly. so now can u allow me for topup online bankin?;40;12/09/2020 07:36;puas;netral;lainnya;sistem aplikasi
Udabir Nepali;good;40;12/09/2020 07:02;puas;puas;lainnya;lainnya
Sapriwati Zakaria;good apps! help a lot! thnkyou grab malaysia;50;12/09/2020 06:51;puas;puas;sistem aplikasi;sistem aplikasi
Nurul Asyiqin Mohamed;good;50;12/09/2020 06:50;puas;puas;lainnya;lainnya
Jovanly Palang;awesome;50;12/09/2020 06:47;puas;puas;lainnya;lainnya
OGUT CHANNEL;😘😘;50;12/09/2020 06:40;puas;05/08/2020 12:29;lainnya;driver
Shane Castueras;good;50;12/09/2020 06:35;puas;puas;lainnya;lainnya
Em;very reliable service especially during these trying times.;50;12/09/2020 06:19;puas;puas;lainnya;lainnya
Naziera Jieyra;good service;50;12/09/2020 06:17;puas;puas;lainnya;lainnya
Junaed Rahman;best ride app;50;12/09/2020 06:11;puas;puas;sistem aplikasi;sistem aplikasi
Vic Kaos;sekarang nak order grab kena top up minimum rm50 what a joke;10;12/09/2020 05:58;tidak puas;tidak puas;lainnya;lainnya
Joyous Duls;som3 if the grab driver are rude;50;12/09/2020 05:55;puas;tidak puas;driver;driver
Jay Husen;nice driver and good trip..;50;12/09/2020 05:50;puas;puas;driver;driver
Jue Musa;👍🏻👍🏻;50;12/09/2020 05:16;puas;05/08/2020 12:29;lainnya;driver
Pheeratch Khemthong;sometime it's confusing to navigate but overall it's good.;40;12/09/2020 05:05;puas;netral;lainnya;sistem aplikasi
pushpan cp;excellent;50;12/09/2020 04:52;puas;puas;lainnya;lainnya
Jasber Kaur Sidhu;good excellent;50;12/09/2020 04:36;puas;puas;lainnya;lainnya
PINK MELON;fast;50;12/09/2020 04:34;puas;puas;lainnya;lainnya
William Chai Wee Lin;the apps just freeze and all the white screen.;10;12/09/2020 04:23;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Fa Muda;pricey but still reliable;40;12/09/2020 04:21;puas;netral;lainnya;sistem aplikasi
B.D Desi Boys;it was great;50;12/09/2020 04:01;puas;puas;lainnya;lainnya
Filza Amzar;ala babi nyaaa skg top up at least rm50;10;12/09/2020 03:44;tidak puas;tidak puas;lainnya;lainnya
farhan sheikh;easy to use;50;12/09/2020 03:37;puas;puas;sistem aplikasi;sistem aplikasi
tabrez qudsi;seamless.;50;12/09/2020 03:32;puas;puas;lainnya;lainnya
Daus Dahlan;teruk! saya tebus e penjana lepastu guna blanja guna e penjana tidak lama lepastu akaun saya digantung. abnormal activity katanya. saya call support team drg ckp saya balik2 login la apa laa.. padahal manada. sd urus tetap teda prubahan.. kalau ada y baru mau claim e penjana jgn d grab.. e wallet drg sucks;10;12/09/2020 03:25;tidak puas;tidak puas;driver;sistem aplikasi
Indhira Issarachai;great service;50;12/09/2020 03:23;puas;puas;lainnya;lainnya
Muhammad Haris Manzur Ellahi;excellent service and make my life easier.;40;12/09/2020 03:17;puas;puas;lainnya;lainnya
J-ar Jimenez;nice;50;12/09/2020 03:04;puas;puas;driver;driver
Chris Choo;short of 1 star is because of bad experience with one of their island wide delivery restaurants. to be exact is one of their island wide delivery restaurants with their own driver. no issues with those restaurants using grab drivers. because those restaurants with own drivers doesn't show locations of the driver like grab drivers do. and i end up not getting the food delivery.;40;12/09/2020 03:03;puas;tidak puas;driver;driver
Ana Guiang;❤️;50;12/09/2020 02:57;puas;05/08/2020 12:29;lainnya;driver
Arief Fauzi;helpfull;50;12/09/2020 02:50;puas;puas;lainnya;lainnya
Mr. RM;good;50;12/09/2020 02:45;puas;puas;lainnya;lainnya
Automobile One;bad experience with the app conpare to other app;10;12/09/2020 02:40;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
yunie_ _;my account has been suspended.. and i don't know why ..i try use other phone number to sing up grab and the number has been suspended too ...i use grab for 2 year and u suspended me just like that ...so rude 😑😑;10;12/09/2020 02:30;tidak puas;tidak puas;lainnya;sistem aplikasi
jessa aquitan;soooo lag;10;12/09/2020 02:27;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Abc Abc;easy;30;12/09/2020 02:23;netral;puas;sistem aplikasi;sistem aplikasi
Win Pa Pa Phyo;like;50;12/09/2020 02:17;puas;puas;lainnya;lainnya
Zillah Vidal;sometime the pinpoint is the exact location;40;12/09/2020 02:17;puas;netral;lainnya;sistem aplikasi
Lix Bayanid;excellent;50;12/09/2020 02:11;puas;puas;lainnya;lainnya
Berni Johnson;very helpful and accurate.;50;12/09/2020 02:08;puas;puas;lainnya;lainnya
Antony azlan Masdayu sinja;puas hati;50;12/09/2020 01:51;puas;puas;lainnya;lainnya
Sopheak OU;nice serive;50;12/09/2020 00:57;puas;puas;driver;driver
Tan Keaw;because once i log in it was a blank page;10;11/09/2020 22:50;tidak puas;tidak puas;lainnya;sistem aplikasi
Muhammad Fitri Idris (Qie);i'm are user of grab apps.. so everyday i will use grab as my transpot to go working place.. mean in 1 day i will take grab in 4 or 5time depending activity on that day.. so i want to say congratulations to our grab driver because until now everytme i fell safe in car and they're never lated for pick up me..thanks grab;50;11/09/2020 22:35;puas;tidak puas;driver;sistem aplikasi
IMRAN ALI IMRAN ALI;nice services;50;11/09/2020 20:38;puas;puas;driver;driver
Nattaporn Kigpadermkul;อยากให้ปักหมุดแบบเจาะจงได้เลย เพราะสถานที่บางที่ค้นหาจากคำไม่เจอ และอยากให้เอารูปที่อยู่ในเครื่องส่งให้คนส่งของดูได้ เอาไว้บอกทาง เพราะสถานที่ๆอยู่แกร๊บมาไม่ค่อยถูก;10;11/09/2020 19:03;tidak puas;tidak puas;lainnya;lainnya
J.G Ong;cannot use;20;11/09/2020 18:17;tidak puas;tidak puas;lainnya;sistem aplikasi
Ashar Z;good;40;11/09/2020 18:05;puas;puas;lainnya;lainnya
Lim Ghee Lam;crash again n again. how many crashes you will need to get it fixed? 1000? i'm already fedup with this bs!!!!!!!;10;11/09/2020 17:57;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Randy Tan;poor gps tracking. can never get the location correct.;30;11/09/2020 16:45;netral;tidak puas;lainnya;driver
Atiyah Zainal;hahaha 😅 i love 😍 and i love you so suprise 💃;30;11/09/2020 16:41;netral;puas;lainnya;lainnya
Sedhu technology centre;awesome;50;11/09/2020 16:30;puas;puas;lainnya;lainnya
Daniel Hancock;never a problem;50;11/09/2020 15:58;puas;puas;lainnya;sistem aplikasi
Lee Witzerton;i prefer to top up small amount instead of 50;10;11/09/2020 15:55;tidak puas;netral;lainnya;sistem aplikasi
Tom R.D;the one and only can help me;50;11/09/2020 15:47;puas;tidak puas;lainnya;sistem aplikasi
Peter Pakanun;this app is cash only! not accepting card in 2020 is unacceptable.;10;11/09/2020 15:33;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Selle Alcantara;my account has been suspended because of suspicious transactions? wew. hahaha. i am not that kind of person if you think.;10;11/09/2020 15:22;tidak puas;tidak puas;lainnya;sistem aplikasi
Dainah Balqis;minimum top up of rm 50? that's insane.;10;11/09/2020 14:54;tidak puas;tidak puas;lainnya;lainnya
Jian Hao Lim;app always crash;10;11/09/2020 14:40;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
ian wongp;couple of food deliveries arrived in poor conditions with spills. no reply from grab support for 5 days and counting;30;11/09/2020 14:29;netral;netral;lainnya;sistem aplikasi
Mohd ilmi kurnia Norzaini;i use grab car very good . i booking next time;50;11/09/2020 14:21;puas;puas;lainnya;lainnya
Ardhana Sakti;very useful;50;11/09/2020 14:15;puas;puas;lainnya;sistem aplikasi
Korina Sancha;the best;50;11/09/2020 14:12;puas;puas;lainnya;lainnya
MUGI EDITZ;happy thanksgiving;50;11/09/2020 13:29;puas;puas;sistem aplikasi;sistem aplikasi
Aceteam Batam;becoming really slow and take alot of space;10;11/09/2020 13:17;tidak puas;tidak puas;lainnya;sistem aplikasi
A Google user;always ask to update 😫. what a such???;30;11/09/2020 13:10;netral;netral;sistem aplikasi;sistem aplikasi
moto “Motofritz” fritz;ganda;50;11/09/2020 12:57;puas;puas;lainnya;lainnya
Tai Pham;good;50;11/09/2020 12:53;puas;puas;lainnya;lainnya
Zamal Zamal;good;50;11/09/2020 12:52;puas;puas;lainnya;lainnya
Tambunan Baruara;great;50;11/09/2020 12:49;puas;puas;lainnya;lainnya
Schierke;been experiencing a lot of errors and stuck ups in the app. fix your damn app as this is the one we are using for work;10;11/09/2020 12:46;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Joshua Bdlaire;please dont hire stupid driver dont know map to work with your team. dont let 1 spoil brat. will lose the rating of service grab. overall ok.;10;11/09/2020 12:44;tidak puas;tidak puas;driver;driver
Munzer Nasr;poor ux and customer service.;10;11/09/2020 12:09;tidak puas;tidak puas;lainnya;lainnya
Kasthuree Szzx;good;50;11/09/2020 11:59;puas;puas;lainnya;lainnya
Fidyani -;gooood;50;11/09/2020 11:46;puas;puas;lainnya;lainnya
Badruddin Makkuasang;best;50;11/09/2020 11:34;puas;puas;lainnya;lainnya
eutiquio lloren;amazingness;30;11/09/2020 11:23;netral;05/08/2020 12:29;lainnya;driver
Agatha Cristy Navarro;👍;50;11/09/2020 11:19;puas;05/08/2020 12:29;lainnya;driver
Joan Kristine Velasquez-De Guzman;i get to places i want to be conveniently and safe too.;50;11/09/2020 10:59;puas;puas;lainnya;sistem aplikasi
Ellyana Achien;semua promo nya ga bisa di pake. ckck;20;11/09/2020 10:42;tidak puas;tidak puas;lainnya;lainnya
hartawan;very good;50;11/09/2020 10:39;puas;puas;lainnya;lainnya
Elly F;enjoy;50;11/09/2020 10:38;puas;puas;lainnya;lainnya
Simon Christopher Santander;i just changed phone. now i cant log in to my grab kept telling that my account has been suspended. worst app ever;10;11/09/2020 10:06;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Hadi Rahmat;babi. tak boleh verified account. nk create baru pn xboleh..celaka.;10;11/09/2020 10:01;tidak puas;tidak puas;lainnya;lainnya
Bren Louis Surio;i get unknown error when booking. i can't load my grabpay using my banking app.;10;11/09/2020 09:57;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
John George;verry good;50;11/09/2020 09:54;puas;puas;lainnya;lainnya
Aisyah Manan;very convenient.;50;11/09/2020 09:53;puas;puas;lainnya;lainnya
dedy indra saputra;saya driver dan juga penumpang. akun saya di tangguh kan karna ada aplikasi driver dan penumpang. kenapa kok gitu pas tlpon cs katanya harus beda hp. jadi. masa iya saya mau pesan makanan seharga 20rb. harus beli hp nya dulu.;10;11/09/2020 09:50;tidak puas;tidak puas;driver;driver
Nino Del mundo;wow;50;11/09/2020 09:34;puas;puas;lainnya;lainnya
Rowena Deodivas;ang tagal ma download 😓;10;11/09/2020 09:33;tidak puas;tidak puas;lainnya;lainnya
noor zamir;great app..very helpful love it;50;11/09/2020 09:31;puas;puas;sistem aplikasi;sistem aplikasi
Izzam Zubir;nice;50;11/09/2020 09:27;puas;puas;driver;driver
Md.khairul Islam;good;50;11/09/2020 09:06;puas;puas;lainnya;lainnya
Carlhiston Go;app not opening properly after update. you only see a white screen;10;11/09/2020 08:59;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Jasper Parilla;essential app especially at this time of pandemic.;40;11/09/2020 08:57;puas;puas;sistem aplikasi;sistem aplikasi
Yingtu Chen;useless app many problem;10;11/09/2020 08:55;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
B. K;great app;50;11/09/2020 08:51;puas;puas;sistem aplikasi;sistem aplikasi
NSY;good app. many good drivers. grab pay is so convenient. must download;50;11/09/2020 08:33;puas;puas;driver;sistem aplikasi
Farah Monika;drivers in jakarta had no idea how to use gps making me really late. i'll never use again!;50;11/09/2020 08:33;puas;tidak puas;driver;driver
Jeffrey Bajaro;helpful in every way possible;50;11/09/2020 08:25;puas;puas;lainnya;lainnya
Lubis Jokies;good;50;11/09/2020 08:23;puas;puas;lainnya;lainnya
Abdulsalam Sultan Ghaleb (Salami);nice;50;11/09/2020 08:20;puas;puas;driver;driver
Adam Dams;reliable service;50;11/09/2020 08:05;puas;puas;lainnya;lainnya
A Google user;aplikasi nya mudah di gunakan.;50;11/09/2020 07:59;puas;puas;sistem aplikasi;sistem aplikasi
Mohd Asmadi Hj Alias;very useful in the event of emergencies;50;11/09/2020 07:56;puas;puas;lainnya;lainnya
M D CRUX;great!;40;11/09/2020 07:55;puas;puas;lainnya;lainnya
look seddrick;good;50;11/09/2020 07:38;puas;puas;lainnya;lainnya
gregsarawak 85;good;50;11/09/2020 07:32;puas;puas;lainnya;lainnya
açai;it's a good app but sometimes it will always show a white screen with nothing despite having wifi and location on;30;11/09/2020 07:31;netral;netral;sistem aplikasi;sistem aplikasi
danish sharma;good service;50;11/09/2020 07:27;puas;puas;lainnya;lainnya
nelyn langutan;nice;50;11/09/2020 07:25;puas;puas;driver;driver
Abdu Rahmanmrr;good;50;11/09/2020 07:13;puas;puas;lainnya;lainnya
Chandra Danu Koesumo;good;50;11/09/2020 07:12;puas;puas;lainnya;lainnya
Thiti Sutthikulphanich;มีทุกอย่างที่ต้องการ;50;11/09/2020 07:07;puas;netral;lainnya;lainnya
Nizam Ishak;ok;30;11/09/2020 07:07;netral;puas;lainnya;lainnya
C T;good service;50;11/09/2020 06:58;puas;puas;lainnya;lainnya
Muhammad Irfan;good service but the price of payment should be slightly reduced;50;11/09/2020 06:49;puas;netral;lainnya;lainnya
Ninz Abueva (Ninz Abueva);making transportation very convinient;50;11/09/2020 06:47;puas;puas;lainnya;lainnya
Julie An Abuhan;😊;50;11/09/2020 06:31;puas;05/08/2020 12:29;lainnya;driver
tiew wenho;good;50;11/09/2020 06:30;puas;puas;lainnya;lainnya
idut;bagi je la balik minimum topup rm20 tu tanpa perlu link kan online banking. dah satu hal nak keluarkan kad bank pulak kalau nak topup rm20. bukan semua orang mampu nak topup rm50 sekaligus. bukan hari hari pun guna apps awak ni.;10;11/09/2020 06:28;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
nazirah rahim;useless app after all.. can't use all the services except for grab car.. don't know what's the problem even i stay at busy town if u say its about the coverage so on.. dont think so..;10;11/09/2020 06:24;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Ramesh V.R.;grab has been excellent for me over the last year.;50;11/09/2020 06:23;puas;tidak puas;lainnya;sistem aplikasi
mohd zailan mohd ghazali;excellent apps. i love it❣😻👍⭐⭐⭐⭐⭐;50;11/09/2020 06:23;puas;puas;sistem aplikasi;sistem aplikasi
Hayley Doll;wont open even after updating very much frustrating;10;11/09/2020 06:21;tidak puas;tidak puas;lainnya;sistem aplikasi
Althea Pumbaya;basta maganda.;50;11/09/2020 06:16;puas;netral;lainnya;lainnya
Hatim Asnawi;getting worse. rm50 for minimum topup is too much. i haven't been getting points too even when im using cash.;10;11/09/2020 06:15;tidak puas;netral;lainnya;sistem aplikasi
Ronald Tai;great app! it makes life more convenient;50;11/09/2020 06:15;puas;puas;sistem aplikasi;sistem aplikasi
Lhalie HP;convenient to use❤;50;11/09/2020 06:03;puas;puas;lainnya;sistem aplikasi
Muhammad Zawawi;good;50;11/09/2020 05:58;puas;puas;lainnya;lainnya
zahidah zahid;good;50;11/09/2020 05:58;puas;puas;lainnya;lainnya
Ara 6395;app nya bagus;40;11/09/2020 05:58;puas;puas;sistem aplikasi;driver
Kelvin Lundgren;bukan aplikasi anak itu wkwkwk;50;11/09/2020 05:51;puas;tidak puas;sistem aplikasi;sistem aplikasi
Phyllis Fred;i cannot reset my grab wallet.;30;11/09/2020 05:29;netral;netral;lainnya;sistem aplikasi
Hemashamu sarvam sakti mayam;ok;50;11/09/2020 05:29;puas;puas;lainnya;lainnya
Pinky Necesito;recently this app is so irritating. you need to update it everytime you open.;10;11/09/2020 05:22;tidak puas;tidak puas;sistem aplikasi;sistem aplikasi
Settawut Thamsarosh;just getting better and better;50;11/09/2020 05:19;puas;puas;lainnya;sistem aplikasi
Shaficq Declan;most capitalist bastard!!!!;10;11/09/2020 05:13;tidak puas;tidak puas;lainnya;lainnya
Cory lifestyle;good and big help for our transportation.;50;11/09/2020 05:12;puas;puas;lainnya;lainnya
az mie;i tried to verify my number but don't receive any otp message or notification;10;11/09/2020 05:10;tidak puas;tidak puas;lainnya;sistem aplikasi
uranusmic;good service for this generation;50;11/09/2020 05:01;puas;puas;lainnya;lainnya
verawijaya kaparang;cukup baik;40;11/09/2020 04:40;puas;puas;lainnya;lainnya
A Google user;i dont like the feature where the driver take 2 grabfood at once. i have to wait till an hour just to get my food!!!!!;10;11/09/2020 04:32;tidak puas;tidak puas;driver;driver
Eva Catelin Tobing;helping for makes activity to be efective;50;11/09/2020 04:26;puas;puas;lainnya;sistem aplikasi
Meena ND;did not receive verification code to register.. so stupid;10;11/09/2020 04:13;tidak puas;tidak puas;lainnya;sistem aplikasi
Jingo Palou;excellent;50;11/09/2020 04:11;puas;puas;lainnya;lainnya
Muhammad Akram;waiting for more than hour to receive the code.you think i stupid be a dummy just waiting for the code.;10;11/09/2020 03:54;tidak puas;tidak puas;lainnya;sistem aplikasi
Usman Li;mengapa memaksa untuk merekam pembicaraan ketika memilih menelepon ya? tolong kinerja nya jangan makin bobrok ya grab;10;11/09/2020 03:54;tidak puas;tidak puas;lainnya;driver
Hooi Chin;the upgrades increasing top up pay to minimum rm50 which kinda upsetting;30;11/09/2020 03:44;netral;netral;lainnya;lainnya
Azri UwU;good job making minimum reload from rm20 to rm50 for online transfer goodbye grabfood hello foodpanda;10;11/09/2020 03:28;tidak puas;tidak puas;lainnya;lainnya
Yuri Salagsag;perfect;50;11/09/2020 03:26;puas;puas;lainnya;lainnya
Thang Khai;give up;50;11/09/2020 03:18;puas;tidak puas;lainnya;sistem aplikasi
Senggaran Sooinarayanan;easy;50;11/09/2020 03:02;puas;puas;sistem aplikasi;sistem aplikasi
Najwa Amin;great and conviennent;50;11/09/2020 02:53;puas;puas;lainnya;sistem aplikasi
